Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level
Bulbasaur,BULBASAUR,45,49,49,45,65,65,318,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,IVYSAUR,EVO_LEVEL,16
Ivysaur,IVYSAUR,60,62,63,60,80,80,405,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VENUSAUR,EVO_LEVEL,32
Venusaur,VENUSAUR,80,82,83,80,100,100,525,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Charmander,CHARMANDER,39,52,43,65,60,50,309,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,CHARMELEON,EVO_LEVEL,16
Charmeleon,CHARMELEON,58,64,58,80,80,65,405,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,CHARIZARD,EVO_LEVEL,36
Charizard,CHARIZARD,78,84,78,100,109,85,534,TYPE_FIRE,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Squirtle,SQUIRTLE,44,48,65,43,50,64,314,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,WARTORTLE,EVO_LEVEL,16
Wartortle,WARTORTLE,59,63,80,58,65,80,405,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,BLASTOISE,EVO_LEVEL,36
Blastoise,BLASTOISE,79,83,100,78,85,105,530,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0
Caterpie,CATERPIE,45,30,35,45,25,20,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,METAPOD,EVO_LEVEL,7
Metapod,METAPOD,70,20,55,30,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,BUTTERFREE,EVO_LEVEL,10
Butterfree,BUTTERFREE,60,45,50,70,0,80,305,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0
Weedle,WEEDLE,40,35,30,50,25,20,200,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,KAKUNA,EVO_LEVEL,7
Kakuna,KAKUNA,65,25,50,35,25,25,225,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,BEEDRILL,EVO_LEVEL,10
